iter	RMSE
399	1401857.472
400	1401070.536
401	1400305.297
402	1399436.095
403	1398391.138
404	1397283.728
405	1396523.587
406	1395474.411
407	1394772.956
408	1393831.078
409	1393223.968
410	1392403.053
411	1391986.144
412	1391103.558
413	1390335.853
414	1389488.521
415	1388803.521
416	1387902.21
417	1386828.967
418	1386260.472
419	1385643.788
420	1385018.622
421	1384765.314
422	1384012.853
423	1383215.181
424	1382707.133
425	1382472.541
426	1381962.094
427	1381273.896
428	1381120.182
429	1380613.383
430	1379892.026
431	1379446.078
432	1378678.53
433	1378010.261
434	1377781.824
435	1376947.292
436	1376503.907
437	1376369.489
438	1375517.331
439	1374594.97
440	1373528.715
441	1372984.512
442	1372451.803
443	1371933.248
444	1371177.646
445	1370107
446	1369035.756
447	1368399.929
448	1367783.946
449	1367137.068
450	1366473.988
451	1365751.84
452	1365080.727
453	1364292.726
454	1363436.164
455	1362796.127
456	1361770.268
457	1361057.05
458	1360088.013
459	1359238.47
460	1358621.39
461	1358311.247
462	1357817.679
463	1356856.837
464	1356445.811
465	1355138.018
466	1354597.003
467	1354030.276
468	1353575.413
469	1352885.978
470	1352357.316
471	1352190.46
472	1351544.095
473	1350788.681
474	1350379.539
475	1349718.074
476	1348958.418
477	1348314.092
478	1348163.596
479	1347303.406
480	1346709.986
481	1346042.286
482	1345338.307
483	1344935.927
484	1344655.897
485	1343372.559
486	1342707.967
487	1342246.663
488	1341592.764
489	1341022.421
490	1340246.129
491	1340115.518
492	1339548.796
493	1338671.179
494	1338053.98
495	1337548.597
496	1337473.991
497	1336938.943
498	1336351.44
499	1335991.29
500	1335558.788
501	1335034.555
502	1334753.25
503	1334628.443
504	1333744.964
505	1333092.486
506	1332519.287
507	1331460.639
508	1330802.982
509	1330436.089
510	1329901.237
511	1329341.263
512	1328980.259
513	1328405.746
514	1327844.842
515	1327374.277
516	1326850.264
517	1326742.506
518	1326341.884
519	1326007.426
520	1325896.583
521	1324884.639
522	1323887.464
523	1323582.675
524	1323168.823
525	1322731.311
526	1322200.147
527	1321582.25
528	1321169.571
529	1320788.608
530	1319986.622
531	1319654.881
532	1319416.426
533	1318539.752
534	1317887.822
535	1317462.231
536	1317170.811
537	1316721.762
538	1316293.299
539	1315864.947
540	1315443.852
541	1315336.117
542	1314947.903
543	1314080.01
544	1313664.524
545	1313575.605
546	1312786.403
547	1312520.241
548	1311617.127
549	1311302.316
550	1310774.798
551	1310143.296
552	1309454.026
553	1309148.783
554	1308630.766
555	1308371.046
556	1308209.249
557	1307498.731
558	1307139.472
559	1306657.356
560	1306255.688
561	1306130.746
562	1305666.341
563	1304802.472
564	1304413.13
565	1304125.698
566	1303435.523
567	1303047.75
568	1302387.889
569	1302024.779
570	1300989.217
571	1300192.096
572	1299554.119
573	1299091.614
574	1298624.63
575	1298289.213
576	1298051.835
577	1297335.405
578	1296816.717
579	1296269.891
580	1295498.37
581	1294689.513
582	1294320.092
583	1293733.727
584	1293450.237
585	1292780.133
586	1292278.866
587	1292060.948
588	1291459.268
589	1291171.714
590	1290677.764
591	1290105.429
592	1289572.002
593	1288961.308
594	1288373.134
595	1287944.784
596	1287600.64
597	1287011.256
598	1286613.531
599	1286238.798
600	1286139.999
601	1285774.076
602	1285688.022
603	1285416.206
604	1285126.785
605	1284678.657
606	1284189.361
607	1283759.677
608	1283608.168
609	1283136.826
610	1282799.929
611	1282412.32
612	1281954.997
613	1281662.828
614	1281169.043
615	1280912.707
616	1280533.765
617	1280144.725
618	1279829.596
619	1279199.546
620	1278863.092
621	1278541.49
622	1278093.014
623	1277810.559
624	1277396.023
625	1276872.826
626	1276626.201
627	1276315.923
628	1276093.149
629	1275623.951
630	1275244.554
631	1274309.314
632	1274029.704
633	1273462.803
634	1272965.309
635	1272200.233
636	1271904.177
637	1271427.72
638	1271127.099
639	1270798.499
640	1270362.138
641	1269866.173
642	1269327.288
643	1268905.361
644	1268689.555
645	1267862.939
646	1267596.914
647	1267352.176
648	1266590.816
649	1266369.048
650	1265934.665
651	1265675.667
652	1265059.148
653	1264714.896
654	1264483.729
655	1264061.19
656	1263675.846
657	1263262.149
658	1262651.988
659	1262115.801
660	1261874.043
661	1261482.339
662	1261131.629
663	1260765.777
664	1260400.572
665	1260090.767
666	1259864.11
667	1259623.327
668	1259341.941
669	1258639.322
670	1258474.757
671	1258140.782
672	1257561.252
673	1257268.481
674	1256614.32
675	1256242.813
676	1255802.159
677	1255451.93
678	1255204.648
679	1254919.082
680	1254501.719
681	1254160.484
682	1253561.806
683	1253171.507
684	1252834.516
685	1252408.521
686	1251950.172
687	1251497.023
688	1251114.047
689	1250883.867
690	1250428.119
691	1250227.757
692	1249881.352
693	1249670.052
694	1249164.553
695	1248852.9
696	1248434.541
697	1248244.639
698	1247955.438
699	1247685.234
700	1247503.515
701	1247068.096
702	1246769.534
703	1246569.127
704	1246156.686
705	1245902.089
706	1245311.696
707	1245142.507
708	1244804.048
709	1244466.173
710	1244159.74
711	1243849.549
712	1243453.408
713	1243048.701
714	1242758.676
715	1242525.842
716	1242214.43
717	1241758.719
718	1241508.823
719	1241201.721
720	1240636.962
721	1240171.487
722	1239776.975
723	1239576.914
724	1239393.056
725	1238968.926
726	1238571.169
727	1238031.443
728	1237577.142
729	1237041.941
730	1236790.623
731	1236528.395
732	1236215.373
733	1235979.234
734	1235644.175
735	1235381.13
736	1234898.938
737	1234560.521
738	1234182.458
739	1233988.661
740	1233597.728
741	1233281.234
742	1232983.243
743	1232832.943
744	1232576.69
745	1232363.984
746	1232140.849
747	1231712.771
748	1231522.957
749	1231149.57
750	1230674.779
751	1230295.775
752	1229936.693
753	1229800.817
754	1229481.444
755	1228985.658
756	1228854.709
757	1228614.895
758	1228351.522
759	1227850.375
760	1227515.469
761	1226934.071
762	1226449.33
763	1225817.58
764	1225512.236
765	1225289.033
766	1224930.878
767	1224613.322
768	1224233.172
769	1223894.331
770	1223505.547
771	1223221.424
772	1223072.356
773	1222864.535
774	1222470.386
775	1222270.05
776	1221965.136
777	1221151.298
778	1220407.793
779	1219883.125
780	1219519.064
781	1219145.231
782	1218649.675
783	1218462.182
784	1218179.076
785	1217698.11
786	1217332.392
787	1216908.766
788	1216573.602
789	1216086.209
790	1215675.01
791	1215243.572
792	1214894.727
793	1214631.244
794	1214314.539
795	1213882.449
796	1213349.864
797	1213036.632
798	1212818.092
799	1212610.551
800	1212454.777
801	1212272.678
802	1211958.071
803	1211526.565
804	1211179.344
805	1211027.358
806	1210573.781
807	1210122.327
808	1209771.6
809	1209468.861
810	1209312.587
811	1208891.772
812	1208643.2
813	1208346.885
814	1208180.824
815	1207915.392
816	1207609.563
817	1206962.379
818	1206744.936
819	1206563.978
820	1206228.249
821	1205941.276
822	1205727.695
823	1205532.322
824	1205342.186
825	1205267.352
826	1204691.774
827	1204348.414
828	1204066.73
829	1203844.511
830	1203431.07
831	1203107.666
832	1202738.025
833	1202233.146
834	1202073.573
835	1201625.384
836	1201259.545
837	1201053.906
838	1200717.061
839	1200299.72
840	1199907.184
841	1199721.831
842	1199187.491
843	1199048.351
844	1198882.028
845	1198500.517
846	1198346.892
847	1198074.889
848	1197891.133
849	1197745.787
850	1197578.179
851	1197380.167
852	1197191.458
853	1196870.537
854	1196708.934
855	1196553.417
856	1196418.653
857	1196100.641
858	1195930.525
859	1195729.972
860	1195359.451
861	1195195.625
862	1195011.083
863	1194767.585
864	1194663.176
865	1194189.302
866	1193949.54
867	1193849.198
868	1193699.857
869	1193336.889
870	1193036.325
871	1192904.43
872	1192494.602
873	1192223.073
874	1192056.755
875	1191895.386
876	1191665.599
877	1191407.835
878	1191154.36
879	1191012.527
880	1190552.193
881	1190242.717
882	1190009.465
883	1189737.012
884	1189505.504
885	1189382.126
886	1188988.204
887	1188674.834
888	1188478.733
889	1188327.51
890	1188165.296
891	1187915.869
892	1187557.468
893	1187424.726
894	1187026.66
895	1186841.7
896	1186482.384
897	1186322.739
898	1186213.69
899	1185842.572
900	1185593.807
901	1185190.499
902	1185053.766
903	1184676.85
904	1184501.021
905	1184317.005
906	1183939.372
907	1183832.725
908	1183596.821
909	1183472.529
910	1183201.992
911	1183056.542
912	1182819.18
913	1182593.266
914	1182384.79
915	1182097.22
916	1181801.611
917	1181635.493
918	1181435.881
919	1181241.57
920	1181091.495
921	1180816.018
922	1180577.728
923	1180456.023
924	1180306.731
925	1180180.482
926	1179863.037
927	1179704.322
928	1179408.838
929	1179212.509
930	1179069.133
931	1178890.078
932	1178819.132
933	1178658.808
934	1178434.479
935	1178230.904
936	1178169.172
937	1178008.031
938	1177864.325
939	1177739.636
940	1177603.244
941	1177495.085
942	1177252.79
943	1176980.422
944	1176597.554
945	1176108.414
946	1175831.347
947	1175608.54
948	1175434.731
949	1175305.979
950	1175116.886
951	1174924.13
952	1174627.327
953	1174232.046
954	1174175.483
955	1173863.619
956	1173417.215
957	1173300.33
958	1173156.898
959	1173101.413
960	1172916.903
961	1172583.431
962	1172167.26
963	1171989.474
964	1171825.386
965	1171596.488
966	1171393.686
967	1171233.69
968	1171063.713
969	1170869.009
970	1170654.41
971	1170502.546
972	1170352.631
973	1170231.153
974	1170018.149
975	1169829.25
976	1169451.816
977	1169377.7
978	1169134.63
979	1168895.823
980	1168706.724
981	1168457.884
982	1168186.473
983	1168069.071
984	1167964.328
985	1167874.607
986	1167668.242
987	1167532.407
988	1167342.84
989	1167131.705
990	1166861.663
991	1166657.516
992	1166557.254
993	1166213.434
994	1166122.883
995	1165952.205
996	1165631.828
997	1165537.182
998	1165363.212
999	1165133.528
